lat,lon,year,month,day,wind_speed,altitude_m
27.5,77.5,2021,10,2,7.154369,25921.43
27.5,77.5,2021,10,3,2.1536324,110.9
27.5,77.5,2021,10,3,5.8288627,762.08
27.5,77.5,2021,10,3,6.2475004,1457.51
27.5,77.5,2021,10,3,5.593301,3012.62
27.5,77.5,2021,10,3,6.805008,4207.02
27.5,77.5,2021,10,3,10.477178,5575.21
27.5,77.5,2021,10,3,12.314422,7186.41
27.5,77.5,2021,10,3,12.407482,9165.16
27.5,77.5,2021,10,3,10.306825,10364.27
27.5,77.5,2021,10,3,9.65641,11776.37
27.5,77.5,2021,10,3,9.540866,13510.6
27.5,77.5,2021,10,3,7.16611,15799.14
27.5,77.5,2021,10,3,4.435722,17671.37
27.5,77.5,2021,10,3,1.3138694,19324.79
27.5,77.5,2021,10,3,4.545327,21641.08
27.5,77.5,2021,10,3,7.004463,23325.88
27.5,77.5,2021,10,3,6.6438413,25921.43
27.5,77.5,2021,10,4,0.34003878,110.9
27.5,77.5,2021,10,4,2.4800467,762.08
27.5,77.5,2021,10,4,3.0660446,1457.51
27.5,77.5,2021,10,4,3.4601302,3012.62
27.5,77.5,2021,10,4,5.706357,4207.02
27.5,77.5,2021,10,4,10.194883,5575.21
27.5,77.5,2021,10,4,14.011002,7186.41
27.5,77.5,2021,10,4,11.437466,9165.16
27.5,77.5,2021,10,4,10.117096,10364.27
27.5,77.5,2021,10,4,10.007997,11776.37
27.5,77.5,2021,10,4,7.4014363,13510.6
27.5,77.5,2021,10,4,4.097942,15799.14
27.5,77.5,2021,10,4,2.7227066,17671.37
27.5,77.5,2021,10,4,1.4499995,19324.79
27.5,77.5,2021,10,4,5.5669785,21641.08
27.5,77.5,2021,10,4,7.58716,23325.88
27.5,77.5,2021,10,4,6.712395,25921.43
27.5,77.5,2021,10,5,1.1715357,110.9
27.5,77.5,2021,10,5,1.4853451,762.08
27.5,77.5,2021,10,5,2.5773046,1457.51
27.5,77.5,2021,10,5,2.5398083,3012.62
27.5,77.5,2021,10,5,4.6428714,4207.02
27.5,77.5,2021,10,5,6.4592004,5575.21
27.5,77.5,2021,10,5,8.381529,7186.41
27.5,77.5,2021,10,5,7.582257,9165.16
27.5,77.5,2021,10,5,7.7583823,10364.27
27.5,77.5,2021,10,5,8.313129,11776.37
27.5,77.5,2021,10,5,6.942712,13510.6
27.5,77.5,2021,10,5,2.9892514,15799.14
27.5,77.5,2021,10,5,0.63737893,17671.37
27.5,77.5,2021,10,5,3.4053266,19324.79
27.5,77.5,2021,10,5,6.380635,21641.08
27.5,77.5,2021,10,5,9.0982485,23325.88
27.5,77.5,2021,10,5,8.580392,25921.43
27.5,77.5,2021,10,6,1.109616,110.9
27.5,77.5,2021,10,6,3.1567388,762.08
27.5,77.5,2021,10,6,3.7720184,1457.51
27.5,77.5,2021,10,6,3.4677067,3012.62
27.5,77.5,2021,10,6,4.3767147,4207.02
27.5,77.5,2021,10,6,5.5823393,5575.21
27.5,77.5,2021,10,6,6.1073723,7186.41
27.5,77.5,2021,10,6,4.9250636,9165.16
27.5,77.5,2021,10,6,6.450678,10364.27
27.5,77.5,2021,10,6,9.3085985,11776.37
27.5,77.5,2021,10,6,6.7912164,13510.6
27.5,77.5,2021,10,6,0.55339855,15799.14
27.5,77.5,2021,10,6,2.4270616,17671.37
27.5,77.5,2021,10,6,2.3856347,19324.79
27.5,77.5,2021,10,6,7.9657073,21641.08
27.5,77.5,2021,10,6,7.5914836,23325.88
27.5,77.5,2021,10,6,4.2060223,25921.43
27.5,77.5,2021,10,7,2.1841748,110.9
27.5,77.5,2021,10,7,4.229731,762.08
27.5,77.5,2021,10,7,4.6723247,1457.51
27.5,77.5,2021,10,7,6.2451982,3012.62
27.5,77.5,2021,10,7,6.6793056,4207.02
27.5,77.5,2021,10,7,5.814046,5575.21
27.5,77.5,2021,10,7,6.499423,7186.41
27.5,77.5,2021,10,7,9.876551,9165.16
27.5,77.5,2021,10,7,10.943777,10364.27
27.5,77.5,2021,10,7,11.570491,11776.37
27.5,77.5,2021,10,7,10.156833,13510.6
27.5,77.5,2021,10,7,3.6538508,15799.14
27.5,77.5,2021,10,7,2.310439,17671.37
27.5,77.5,2021,10,7,1.4920621,19324.79
27.5,77.5,2021,10,7,7.425379,21641.08
27.5,77.5,2021,10,7,4.3812814,23325.88
27.5,77.5,2021,10,7,2.949788,25921.43
27.5,77.5,2021,10,8,1.8809909,110.9
27.5,77.5,2021,10,8,4.1086807,762.08
27.5,77.5,2021,10,8,6.201714,1457.51
27.5,77.5,2021,10,8,6.224147,3012.62
27.5,77.5,2021,10,8,5.94138,4207.02
27.5,77.5,2021,10,8,8.955795,5575.21
27.5,77.5,2021,10,8,11.806143,7186.41
27.5,77.5,2021,10,8,13.046575,9165.16
27.5,77.5,2021,10,8,14.296328,10364.27
27.5,77.5,2021,10,8,14.590494,11776.37
27.5,77.5,2021,10,8,13.670155,13510.6
27.5,77.5,2021,10,8,8.786389,15799.14
27.5,77.5,2021,10,8,2.180168,17671.37
27.5,77.5,2021,10,8,1.3612945,19324.79
27.5,77.5,2021,10,8,4.636405,21641.08
27.5,77.5,2021,10,8,2.4875941,23325.88
27.5,77.5,2021,10,8,3.2528834,25921.43
27.5,77.5,2021,10,9,0.61846733,110.9
27.5,77.5,2021,10,9,2.4850807,762.08
27.5,77.5,2021,10,9,4.0713944,1457.51
27.5,77.5,2021,10,9,4.988236,3012.62
27.5,77.5,2021,10,9,6.8963766,4207.02
27.5,77.5,2021,10,9,11.127277,5575.21
27.5,77.5,2021,10,9,13.609968,7186.41
27.5,77.5,2021,10,9,15.471911,9165.16
27.5,77.5,2021,10,9,17.125875,10364.27
27.5,77.5,2021,10,9,18.730007,11776.37
27.5,77.5,2021,10,9,17.742216,13510.6
27.5,77.5,2021,10,9,12.165371,15799.14
27.5,77.5,2021,10,9,4.7000675,17671.37
27.5,77.5,2021,10,9,1.2572302,19324.79
27.5,77.5,2021,10,9,4.821631,21641.08
27.5,77.5,2021,10,9,4.42613,23325.88
27.5,77.5,2021,10,9,4.5530896,25921.43
27.5,77.5,2021,10,10,2.1157157,110.9
27.5,77.5,2021,10,10,5.005808,762.08
27.5,77.5,2021,10,10,5.8385034,1457.51
27.5,77.5,2021,10,10,4.7277102,3012.62
27.5,77.5,2021,10,10,5.268836,4207.02
27.5,77.5,2021,10,10,7.593131,5575.21
27.5,77.5,2021,10,10,10.28728,7186.41
27.5,77.5,2021,10,10,18.755882,9165.16
27.5,77.5,2021,10,10,22.883675,10364.27
27.5,77.5,2021,10,10,25.08548,11776.37
27.5,77.5,2021,10,10,22.360006,13510.6
27.5,77.5,2021,10,10,15.385869,15799.14
27.5,77.5,2021,10,10,7.785002,17671.37
27.5,77.5,2021,10,10,2.820018,19324.79
27.5,77.5,2021,10,10,4.34921,21641.08
27.5,77.5,2021,10,10,4.107082,23325.88
27.5,77.5,2021,10,10,4.476745,25921.43
27.5,77.5,2021,10,11,0.5700871,110.9
27.5,77.5,2021,10,11,2.1854634,762.08
27.5,77.5,2021,10,11,2.326478,1457.51
27.5,77.5,2021,10,11,1.3483781,3012.62
27.5,77.5,2021,10,11,3.3824925,4207.02
27.5,77.5,2021,10,11,9.721401,5575.21
27.5,77.5,2021,10,11,16.995901,7186.41
27.5,77.5,2021,10,11,25.430262,9165.16
27.5,77.5,2021,10,11,28.666706,10364.27
27.5,77.5,2021,10,11,29.009352,11776.37
27.5,77.5,2021,10,11,24.88687,13510.6
27.5,77.5,2021,10,11,16.990953,15799.14
27.5,77.5,2021,10,11,5.534551,17671.37
27.5,77.5,2021,10,11,2.8776095,19324.79
27.5,77.5,2021,10,11,3.1258006,21641.08
27.5,77.5,2021,10,11,2.118077,23325.88
27.5,77.5,2021,10,11,3.0192094,25921.43
27.5,77.5,2021,10,12,1.6087645,110.9
27.5,77.5,2021,10,12,3.0456939,762.08
27.5,77.5,2021,10,12,3.2802424,1457.51
27.5,77.5,2021,10,12,1.2298372,3012.62
27.5,77.5,2021,10,12,3.7817006,4207.02
27.5,77.5,2021,10,12,11.685275,5575.21
27.5,77.5,2021,10,12,20.498049,7186.41
27.5,77.5,2021,10,12,26.765148,9165.16
27.5,77.5,2021,10,12,27.381895,10364.27
27.5,77.5,2021,10,12,25.580708,11776.37
27.5,77.5,2021,10,12,24.023493,13510.6
27.5,77.5,2021,10,12,17.98939,15799.14
27.5,77.5,2021,10,12,5.212307,17671.37
27.5,77.5,2021,10,12,0.9290458,19324.79
27.5,77.5,2021,10,12,0.44300115,21641.08
27.5,77.5,2021,10,12,0.7424621,23325.88
27.5,77.5,2021,10,12,2.9288435,25921.43
27.5,77.5,2021,10,13,2.1250002,110.9
27.5,77.5,2021,10,13,3.6899354,762.08
27.5,77.5,2021,10,13,3.940812,1457.51
27.5,77.5,2021,10,13,1.0612502,3012.62
27.5,77.5,2021,10,13,3.7928402,4207.02
27.5,77.5,2021,10,13,11.502446,5575.21
27.5,77.5,2021,10,13,17.545103,7186.41
27.5,77.5,2021,10,13,23.743486,9165.16
27.5,77.5,2021,10,13,24.900454,10364.27
27.5,77.5,2021,10,13,25.919262,11776.37
27.5,77.5,2021,10,13,23.271496,13510.6
27.5,77.5,2021,10,13,19.414059,15799.14
27.5,77.5,2021,10,13,4.779383,17671.37
27.5,77.5,2021,10,13,1.1688659,19324.79
27.5,77.5,2021,10,13,2.4755049,21641.08
27.5,77.5,2021,10,13,1.485976,23325.88
27.5,77.5,2021,10,13,0.28504387,25921.43
27.5,77.5,2021,10,14,3.182079,110.9
27.5,77.5,2021,10,14,4.645025,762.08
27.5,77.5,2021,10,14,3.802137,1457.51
27.5,77.5,2021,10,14,1.1884851,3012.62
27.5,77.5,2021,10,14,1.7677667,4207.02
27.5,77.5,2021,10,14,5.972543,5575.21
27.5,77.5,2021,10,14,11.638836,7186.41
27.5,77.5,2021,10,14,19.067266,9165.16
